departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Norte De San,78517,Ocaña,42867,1184,3614,camara
Cesar,15682,Becerril,8883,244,692,camara
Cundinamarca,4705,Utica,2366,98,145,camara
Antioquia,11599,Anori,2902,128,185,camara
Consulados,13831,Italia,1106,7,65,camara
Caldas,5928,Norcasia,2905,131,211,camara
Norte De San,13614,Puerto Santander,4488,110,513,camara
Tolima,4477,Suarez,2410,39,146,camara
Cundinamarca,6186,Macheta,2465,74,185,camara
Choco,4763,EL Canton Del San Pablo (man.,2648,56,196,camara
Sucre,7210,Coloso (ricaurte),5007,373,298,camara
Boyaca,6805,Belen,3431,84,275,camara
Quindio,5873,Salento,3017,80,262,camara
Bolivar,8478,Arroyo Hondo,5630,123,296,camara
Cundinamarca,10452,Caparrapi,4431,325,296,camara
Antioquia,34331,Puerto Berrio,11459,495,1048,camara
Santander,5313,Florian,2079,136,170,camara
Tolima,7996,Coello,4157,202,269,camara
Antioquia,12246,San Jeronimo,5562,165,359,camara
Nariño,5360,San Pedro De Cartago,3995,142,285,camara
Valle,98984,Yumbo,49937,1326,4669,camara
Antioquia,17950,Ituango,4182,410,394,camara
Antioquia,15959,Yolombo,4882,255,465,camara
Sucre,11725,Coveñas,7461,438,610,camara
Cundinamarca,5247,Gachala,2179,82,150,camara
Casanare,108966,Yopal,59191,1056,4501,camara
Boyaca,7612,Miraflores,4171,82,285,camara
Atlantico,46888,Baranoa,29224,802,1392,camara
Boyaca,3815,Guayata,1682,57,108,camara
Nariño,14680,Pupiales,8645,326,741,camara
Cundinamarca,64721,Funza,35588,900,6378,camara
Magdalena,47216,El Banco,25922,742,1961,camara
Santander,3134,Santa Helena Del Opon,1275,104,97,camara
Cordoba,86369,Lorica,53708,1974,3152,camara
Arauca,3853,Puerto Rondon,1880,49,58,camara
Boyaca,2513,Oicata,1476,29,89,camara
Santander,3290,Enciso,1854,64,136,camara
Santander,5849,Sucre,2440,100,205,camara
Nariño,95048,Ipiales,45241,1414,3813,camara
Norte De San,561747,Cucuta,307123,6626,29304,camara
Cundinamarca,11422,Anolaima,4538,139,397,camara
Consulados,29082,Panama,2061,35,125,camara
Tolima,10251,San Antonio,4762,206,460,camara
Norte De San,5070,Labateca,2572,76,154,camara
Consulados,286440,Venezuela,28317,763,2143,camara
Antioquia,7224,Sabanalarga,3042,121,207,camara
Santander,2529,Galan,1170,67,80,camara
Nariño,5715,Ospina,3502,222,207,camara
Sucre,18495,Toluviejo,11830,898,475,camara
Caldas,11634,Marquetalia,5536,255,458,camara
Bolivar,14357,Turbana,8045,337,539,camara
Boyaca,85856,Duitama,48398,655,4800,camara
Nariño,7381,Santa Barbara (iscuande),3019,77,234,camara
Sucre,18140,Los Palmitos,12845,524,604,camara
Cesar,17712,Pueblo Bello,7798,373,811,camara
Cordoba,12804,La Apartada (frontera),6785,267,438,camara
Quindio,6104,Pijao,3092,105,269,camara
Consulados,4381,Austria,264,2,14,camara
Santander,3136,Surata,1806,69,125,camara
Cauca,13924,Mercaderes,5988,477,461,camara
Norte De San,6201,Bochalema,3664,67,252,camara
Magdalena,13261,Chivolo,7757,252,834,camara
Valle,160891,Tulua,77301,1850,7415,camara
Meta,8368,Mesetas,3158,278,284,camara
Antioquia,11044,San Luis,4471,191,304,camara
Antioquia,17296,Amalfi,5111,277,510,camara
Cundinamarca,3762,Guayabal De Siquima,2035,45,124,camara
Cundinamarca,7579,Chipaque,3528,64,334,camara
Cauca,5563,Sucre,2842,261,151,camara
Antioquia,13254,Cocorna,6259,370,489,camara
Boyaca,3663,El Cocuy,1568,93,112,camara
Choco,3071,Jurado,1271,14,152,camara
Choco,6021,El Carmen,2619,250,298,camara
Cundinamarca,8739,Ubala,3750,125,314,camara
Caldas,10309,Belalcazar,5180,212,339,camara
Consulados,17696,Brasil,905,11,59,camara
Cundinamarca,10542,Guasca,5530,190,961,camara
Cauca,8730,Rosas,4024,309,345,camara
Sucre,9599,La Union,6204,673,332,camara
Huila,6726,Colombia,3598,141,198,camara
Antioquia,11063,Venecia,4083,191,295,camara
Cundinamarca,6942,Medina,3537,118,197,camara
Boyaca,2240,Corrales,1250,31,68,camara
Nariño,6403,Imues,3735,118,242,camara
Cauca,19963,Paez (belalcazar),9525,1551,647,camara
Choco,4084,Rio Iro,2332,13,112,camara
Cundinamarca,5218,Susa,2275,59,204,camara
Nariño,5212,La Tola,2809,130,303,camara
Nariño,8611,Consaca,5383,141,329,camara
Tolima,8556,Alvarado,4254,120,270,camara
Antioquia,6697,Argelia,2392,128,196,camara
Bolivar,9873,Cicuco,5673,136,337,camara
Nariño,4449,Providencia,2845,82,171,camara
Valle,9926,El Dovio,4882,164,337,camara
Boyaca,1240,Sativasur,539,12,29,camara
Santander,3676,Carcasi,1755,74,117,camara
Antioquia,12314,Sopetran,5879,197,343,camara
Santander,2436,Palmas Del Socorro,1297,49,76,camara
La Guajira,27266,Fonseca,15038,390,994,camara
Antioquia,12044,Puerto Nare-La Magdalena,5957,167,351,camara
Valle,50970,Florida,25292,759,2217,camara
